is_near_metro,seller_type_encoded,flat,total_flat,room_count,area_converted,category_encoded,documents_encoded,is_repair_encoded,price
1,0,3,17,2,65.0,0,1,1,198000
1,0,5,19,3,95.0,0,1,1,245000
0,0,6,16,2,50.0,0,0,1,159000
0,0,10,20,4,153.0,0,1,1,335000
1,0,9,18,3,120.0,0,1,1,224000
1,0,3,5,2,50.0,1,1,1,104000
1,0,5,17,3,112.0,0,1,1,189000
1,0,7,9,3,80.0,1,1,1,165000
0,0,15,22,5,220.0,0,1,1,320000
0,0,17,20,4,185.0,0,1,0,399000
1,0,15,16,4,168.0,0,1,1,436000
1,0,7,8,5,255.0,0,0,0,345000
0,0,4,9,3,80.0,1,1,1,142000
1,0,4,14,3,105.0,0,1,0,195000
0,0,5,18,3,102.0,0,0,1,240000
1,1,4,5,3,118.0,0,1,1,224000
0,0,5,20,3,98.0,0,1,1,209000
1,0,4,16,2,95.0,0,1,1,250000
1,0,3,5,1,36.0,1,1,1,78000
0,0,6,9,2,56.0,0,1,1,86000
0,0,3,6,3,70.0,0,1,1,76500
0,0,6,16,3,110.0,0,1,1,150000
0,0,7,12,2,84.0,0,1,1,108000
1,0,14,22,2,105.0,0,0,0,114990
1,0,6,21,4,182.0,0,0,1,215000
0,0,4,9,4,75.0,1,1,1,127000
0,1,1,16,3,60.0,0,1,1,60000
1,0,5,16,3,75.0,0,0,1,179000
0,1,3,11,3,83.0,0,1,1,93000
0,1,17,18,4,141.0,0,1,1,540000
0,1,4,10,3,83.4,0,1,1,89000
1,0,9,9,2,55.0,1,1,1,107000
0,0,3,4,3,88.0,0,0,1,125000
1,0,1,5,2,55.0,0,1,1,105000
0,0,19,20,3,128.0,0,1,0,182000
0,1,5,11,2,54.0,0,1,1,120000
0,1,4,9,3,85.0,1,1,0,160000
1,0,11,20,3,72.0,0,1,1,114500
0,1,7,16,2,70.0,0,1,1,165000
0,0,15,17,3,140.0,0,1,1,300000
0,1,8,20,3,101.0,0,1,1,198000
0,0,9,9,4,150.0,1,1,1,390000
0,1,6,8,5,180.0,0,1,1,520000
0,0,4,19,2,62.0,0,0,1,165000
0,1,9,18,3,136.0,0,1,1,250000
0,1,9,9,3,75.0,1,1,1,135000
1,0,9,9,3,67.0,1,1,0,119000
0,0,11,16,3,143.0,0,1,1,350000
0,0,18,20,3,200.0,0,1,1,685000
0,0,8,15,3,109.0,0,0,0,198000
0,1,5,9,2,55.0,1,1,1,138000
1,0,4,14,4,130.0,0,0,0,215000
0,1,10,11,3,90.0,0,0,1,128000
1,0,5,5,3,80.0,1,1,1,137000
1,1,19,22,4,217.0,0,1,1,620000
1,0,5,18,2,70.0,0,1,1,168800
0,0,10,21,2,92.0,0,0,1,192000
0,0,15,18,2,100.0,0,1,0,182000
1,0,4,17,2,77.7,0,0,0,140000
0,1,12,15,3,131.0,0,0,0,133100
0,0,12,18,2,67.0,0,0,1,140000
1,0,8,20,3,130.0,0,1,1,285000
0,0,5,9,3,88.0,0,1,1,150000
0,0,4,12,3,85.0,0,1,1,120000
0,1,15,19,2,75.0,0,1,1,168000
0,0,11,17,2,52.0,0,0,1,77000
1,0,7,16,2,86.6,0,0,0,155000
0,0,2,5,3,85.0,1,1,1,205000
1,0,9,16,2,60.0,0,1,1,155000
0,0,13,18,3,150.0,0,1,1,345000
1,0,21,27,4,178.5,0,1,0,360000
1,1,11,12,6,305.0,0,1,1,800000
1,0,4,18,2,84.0,0,0,0,181000
1,1,16,17,1,53.0,0,1,1,109000
0,0,15,18,3,168.0,0,1,1,370000
0,0,2,9,3,74.0,0,1,1,112000
1,0,2,9,3,85.0,1,1,1,118000
1,0,7,9,5,115.0,1,1,0,205000
0,0,3,9,3,85.0,1,1,1,158500
0,0,2,5,1,35.0,1,1,1,53000
1,1,12,17,2,65.3,0,1,1,169900
0,1,3,5,1,30.0,1,1,1,112000
1,0,15,17,3,110.0,0,0,1,310000
0,1,9,11,2,45.0,0,0,1,73400
0,0,16,17,2,68.0,0,1,1,193000
0,0,4,5,3,85.0,1,1,1,195000
1,0,3,16,3,110.0,0,1,1,240000
0,1,4,9,3,70.0,1,1,1,158000
0,0,2,5,3,90.0,1,1,1,207000
0,0,7,9,2,65.0,1,0,1,143000
0,1,2,14,3,60.0,0,1,1,102000
0,0,2,5,2,38.0,1,1,1,76500
0,0,17,17,3,70.0,0,1,1,109900
0,0,7,14,2,55.0,0,0,1,152000
1,0,6,9,2,60.0,1,1,0,103000
1,1,1,9,2,55.0,1,1,1,108000
0,0,9,9,3,65.0,1,1,1,97000
1,1,16,16,2,87.0,0,1,1,88500
0,1,4,4,2,30.0,1,1,1,60000
0,0,4,17,7,470.0,0,1,1,960000
0,0,3,19,2,73.0,1,0,1,185000
0,0,11,20,1,64.0,0,1,1,125000
1,0,6,12,3,140.0,0,0,1,325000
0,0,6,16,3,100.0,0,0,1,259000
0,0,1,5,2,45.0,1,1,1,106000
0,0,14,16,5,200.0,0,1,1,430000
1,0,15,17,1,30.0,0,0,0,26800
0,0,2,7,4,163.0,0,1,1,315000
0,1,20,20,6,290.0,0,0,0,800000
0,0,2,9,3,85.0,1,1,1,159000
1,0,7,17,3,84.0,0,1,1,170000
1,1,7,7,2,50.0,0,1,1,103000
0,1,15,17,2,83.0,0,0,1,245000
0,0,7,9,2,50.0,1,1,1,85500
1,0,8,16,3,171.0,0,1,0,330000
0,0,3,5,1,35.0,1,1,1,91000
0,0,13,15,4,164.0,0,1,1,425000
0,0,6,14,2,70.0,0,0,1,130000
1,0,16,18,2,55.0,0,1,1,128000
1,1,6,18,3,145.0,0,1,1,295000
1,1,14,14,1,58.0,0,1,0,108000
1,0,2,17,3,85.0,0,0,1,197500
0,0,5,19,3,113.0,0,0,1,230000
0,0,2,5,2,50.0,1,1,1,118000
1,1,7,16,4,183.0,0,0,0,364000
0,0,4,16,2,65.0,0,1,1,85000
0,0,16,18,2,63.0,0,1,1,135000
1,1,9,9,3,85.0,1,1,1,120000
0,1,2,10,2,83.0,0,1,1,100000
1,0,6,14,2,51.0,0,0,1,135000
0,0,24,25,3,82.0,0,1,1,165000
0,0,1,9,2,53.0,1,1,1,97000
0,0,3,7,5,170.0,0,1,0,440000
1,0,15,17,2,74.0,0,0,1,163000
0,1,4,12,3,120.0,0,0,0,120000
0,0,3,10,2,111.0,0,0,0,206000
1,0,2,10,3,118.0,1,1,1,210000
0,0,16,20,4,180.0,0,1,0,415000
0,0,7,7,2,58.0,0,1,0,178000
0,0,6,7,3,140.0,0,1,1,470000
0,0,4,7,3,130.0,0,1,1,490000
0,0,2,4,4,180.0,0,1,1,270000
0,0,5,9,2,62.0,0,0,0,120000
0,0,2,5,4,185.0,0,1,0,351500
0,0,8,15,3,106.0,0,1,1,240000
0,0,2,5,3,119.5,0,1,0,227000
0,0,14,25,2,60.0,0,1,1,133000
0,0,2,4,3,85.0,1,1,1,200000
0,0,9,16,4,167.0,0,1,1,610000
0,0,3,6,2,52.0,0,0,1,73000
0,0,12,16,2,80.0,0,0,1,215000
1,1,2,5,3,79.0,0,0,0,97000
1,0,15,20,3,152.0,0,1,0,205000
1,1,3,11,3,140.0,0,1,1,255000
0,0,12,15,4,175.0,0,1,1,275000
1,0,12,19,3,55.0,0,1,1,115000
1,0,5,9,3,85.0,1,1,1,149500
1,0,4,16,3,127.4,0,0,0,340000
1,0,17,19,2,58.0,0,1,1,125000
0,0,7,18,2,60.0,0,0,1,132000
1,0,6,16,4,230.0,0,1,1,470000
1,0,7,16,4,210.0,0,1,1,465000
0,1,6,15,2,84.0,0,1,1,84000
0,0,9,16,2,60.0,0,1,1,155000
0,0,4,5,1,40.0,1,1,1,100000
1,0,5,9,3,85.0,1,0,1,149500
0,0,6,19,2,76.0,0,1,1,155000
0,0,9,16,2,62.0,0,0,1,69500
0,0,3,5,3,58.0,1,1,1,113000
0,0,2,16,3,90.0,0,0,1,97000
0,1,8,12,1,56.0,0,1,1,105000
0,0,9,16,2,57.0,0,0,1,140000
1,1,4,6,3,63.0,0,0,1,79500
0,0,7,9,3,80.0,1,1,0,119000
0,0,5,12,3,91.0,0,0,1,104000
0,1,4,12,3,88.0,0,1,1,124000
0,0,2,9,2,60.0,1,1,1,107000
1,0,2,10,3,110.0,1,1,1,210000
1,0,17,19,4,160.0,0,1,1,362000
1,0,8,9,2,45.0,1,1,1,105000
0,1,12,18,3,168.0,0,0,1,380000
0,0,4,9,2,65.0,1,1,1,137000
0,1,6,11,2,40.0,0,1,1,55500
1,0,6,11,3,82.0,0,1,1,145000
1,0,7,12,2,105.0,0,1,1,175000
1,1,4,18,3,128.0,0,1,1,269000
0,0,15,20,4,177.0,0,0,1,350000
0,0,1,9,2,64.0,1,1,1,124000
1,0,7,19,3,120.0,0,1,1,265000
1,1,8,9,3,58.0,0,0,1,113000
0,0,1,3,2,46.0,1,1,0,65000
1,0,8,20,3,126.0,0,1,1,255000
0,1,16,18,6,305.0,0,1,1,980000
0,0,2,5,2,58.0,1,1,1,109000
0,0,17,20,3,140.0,0,1,1,248000
0,0,10,17,3,112.0,0,0,1,135000
1,0,4,5,2,40.0,1,1,1,85000
0,0,12,19,3,120.0,0,0,1,275000
1,0,18,20,2,77.0,0,0,1,165000
1,1,4,12,3,90.0,0,1,0,82000
0,0,5,16,2,54.0,0,0,1,140000
0,0,2,9,3,52.0,1,1,1,85000
0,0,5,19,2,88.9,0,1,1,187000
0,0,3,12,4,187.0,0,1,1,640000
0,0,3,4,2,67.0,1,1,1,220000
0,0,17,20,2,53.0,0,0,1,145000
0,0,6,16,4,192.0,0,0,1,415000
0,0,16,20,2,53.0,0,1,1,95000
1,0,17,19,3,156.0,0,1,0,390000
0,0,7,9,2,65.0,1,1,1,102900
0,0,4,4,3,100.0,1,1,1,355000
1,0,3,4,2,67.0,1,1,1,220000
0,0,17,18,3,141.0,0,1,1,590000
1,0,4,5,2,45.0,1,1,1,125000
0,0,1,5,3,45.0,1,1,1,85000
0,0,6,14,4,195.0,0,0,0,415000
0,0,9,9,2,45.0,1,1,1,84000
1,0,12,16,2,75.0,0,0,1,122000
0,0,11,14,2,95.0,0,1,1,145000
1,0,4,5,3,80.0,1,1,1,140000
0,0,5,15,3,115.0,0,1,1,270000
0,0,6,19,3,92.0,0,1,1,150000
0,0,12,18,4,136.0,0,1,1,250000
1,0,11,16,3,150.0,0,1,1,240000
0,0,2,3,3,90.0,1,1,1,148000
0,0,4,17,4,176.0,0,1,1,485000
1,1,8,15,4,230.0,0,1,1,460000
0,0,8,17,3,140.0,0,1,1,229000
0,0,8,16,3,72.0,0,1,1,90000
0,0,4,15,3,165.0,0,1,1,435000
0,0,4,19,2,65.0,0,1,1,137000
0,0,12,19,3,90.0,0,1,1,198000
0,0,2,2,2,95.0,0,1,0,280500
1,0,4,9,3,77.0,1,1,1,123000
0,0,1,5,2,98.2,0,1,0,300492
0,0,2,2,4,187.0,0,1,0,544000
0,0,2,3,4,172.0,0,1,0,510000
0,0,18,18,3,135.0,0,1,1,185000
1,0,8,9,3,55.0,1,1,1,135000
1,0,3,9,2,45.0,1,1,1,108000
1,0,19,19,3,108.0,0,1,1,238000
1,0,7,9,2,45.0,1,1,1,74000
1,0,11,16,2,60.0,0,0,1,140000
0,0,2,13,2,93.0,0,0,1,98500
1,0,2,19,3,91.0,0,1,1,185990
0,0,17,20,4,160.0,0,1,1,360000
0,0,4,17,5,272.0,0,1,0,489000
0,0,12,12,3,76.1,0,1,1,116000
1,0,6,9,2,40.0,1,1,1,80000
0,0,4,5,2,55.0,1,1,1,125000
0,0,3,5,4,140.0,0,1,1,260000
0,0,7,8,3,105.0,0,1,1,263000
0,0,6,18,2,65.0,0,1,1,129000
0,0,7,17,2,104.0,0,0,1,146000
0,1,9,20,3,104.0,0,1,0,210000
1,0,10,18,2,70.0,0,0,1,149500
1,0,16,25,3,120.0,0,1,1,270000
1,0,8,23,4,152.0,0,1,1,450000
1,0,14,19,3,102.0,0,1,1,215000
1,0,10,16,3,122.0,0,0,1,320000
0,0,7,11,2,58.0,0,1,1,67000
1,0,6,19,2,60.0,0,1,1,155000
0,0,11,14,3,105.0,0,0,1,259000
1,0,8,13,3,130.0,0,1,1,544000
1,0,9,12,3,64.5,0,1,1,193000
0,0,16,19,4,165.0,0,1,1,425000
1,0,8,16,4,155.0,0,1,1,234000
0,0,7,17,2,80.7,0,1,1,171000
0,0,9,20,4,200.0,0,1,1,870000
1,0,9,9,2,45.0,1,1,1,95000
0,0,8,20,3,105.0,0,1,1,201000
1,0,3,16,3,90.0,0,1,1,215000
0,0,14,19,2,62.0,0,0,1,160000
0,0,7,10,4,174.0,0,1,1,400000
1,0,16,18,3,120.0,0,0,1,349000
0,0,10,19,3,86.0,0,1,1,174000
0,0,2,16,4,138.0,0,1,1,285000
0,0,2,6,4,130.0,0,0,0,177000
0,0,16,18,2,67.0,0,1,1,193000
0,0,10,13,2,54.0,0,0,1,185000
0,0,7,14,2,75.0,0,1,1,145000
0,0,19,19,3,90.0,0,1,1,232000
0,0,8,13,2,65.0,0,1,1,130000
1,0,7,12,3,122.0,0,0,1,207000
1,0,3,17,4,165.0,0,1,1,370000
0,0,11,14,2,91.7,0,1,1,150000
0,0,2,9,2,65.0,1,1,1,123000
0,0,2,6,3,70.0,0,0,1,135000
1,0,4,4,2,45.0,1,1,1,230000
0,1,18,18,3,140.0,0,1,1,409000
1,0,7,14,2,68.0,0,1,1,145000
1,0,1,1,3,99.7,1,1,1,170000
1,0,3,4,5,170.0,1,1,1,650000
0,0,8,16,1,72.0,0,0,0,110000
0,0,12,16,2,56.0,0,1,1,126000
0,0,12,16,2,61.0,0,0,1,165000
0,0,14,17,3,110.0,0,1,1,280000
0,0,17,17,2,75.0,0,0,1,105000
1,0,5,9,3,90.0,1,1,1,165000
0,0,5,9,2,60.0,1,1,1,215000
1,0,6,18,2,55.0,0,0,1,140000
0,0,5,5,2,42.0,1,1,0,95000
0,0,3,5,4,105.0,1,1,1,185000
1,0,6,18,2,52.0,0,1,1,140000
0,0,3,18,2,92.0,0,1,1,200000
1,0,19,21,3,152.0,0,0,0,265000
0,0,9,17,3,150.0,0,0,1,230000
0,0,7,9,2,50.0,1,1,1,95000
0,0,1,13,3,80.0,0,1,1,154000
0,0,9,17,2,95.0,0,0,0,145000
0,0,4,5,3,70.0,1,1,1,135000
1,0,13,15,2,70.0,0,1,1,147000
1,0,11,17,2,75.0,0,0,1,139000
1,0,9,16,2,65.0,0,1,1,141000
1,0,6,9,3,80.0,1,1,1,150000
0,0,5,17,3,140.0,0,1,0,310000
1,0,16,16,2,70.0,0,1,1,177000
1,0,2,16,2,58.0,0,1,1,134000
1,0,2,5,3,75.0,1,1,1,175000
1,0,14,18,3,125.0,0,1,1,270000
0,0,10,10,3,95.0,0,0,0,200000
1,0,14,17,4,145.0,0,1,1,320000
1,0,15,17,4,149.0,0,0,0,223500
1,0,12,17,3,115.0,0,0,1,320000
0,0,9,16,3,110.0,0,1,1,230000
1,1,10,13,3,127.0,0,1,1,204000
1,0,4,17,2,85.7,0,1,1,300000
0,0,8,19,2,88.9,0,1,1,190000
0,0,4,16,2,97.0,0,1,1,165000
1,0,6,12,2,70.0,0,0,0,147000
1,0,2,13,3,120.0,0,1,1,170000
0,0,11,18,3,145.0,0,0,0,265000
0,0,2,20,2,50.0,0,1,1,110000
1,0,2,2,2,40.0,1,1,1,99000
1,0,3,15,2,80.0,0,1,1,186000
1,0,17,19,2,60.0,0,1,1,119000
1,0,13,15,3,155.0,0,1,1,305000
0,0,3,16,2,55.0,0,0,1,129500
0,0,19,19,2,52.0,0,1,1,114000
0,1,7,9,3,80.0,1,1,1,153000
1,0,12,16,2,85.0,0,0,0,193000
0,0,11,17,2,52.0,0,1,1,187000
0,0,7,16,2,58.0,0,0,1,128000
0,0,3,9,3,85.0,0,1,1,132000
0,0,10,16,3,145.0,0,1,0,275000
0,0,14,16,3,96.0,0,0,1,265000
0,0,10,17,2,74.0,0,1,1,189000
0,0,16,17,2,66.0,0,1,1,193000
0,0,8,20,4,135.0,0,1,1,258000
0,0,16,17,3,115.0,0,0,1,350000
0,0,3,14,4,190.0,0,1,1,590000
0,0,11,17,3,86.0,0,0,1,245000
0,0,4,10,3,107.0,0,0,0,264000
0,0,16,18,4,161.0,0,1,1,360000
0,0,3,8,4,152.0,0,0,0,302000
0,0,2,6,4,120.0,0,1,1,142000
1,0,2,5,2,65.0,1,1,1,160000
1,0,9,17,3,120.0,0,1,1,227000
1,0,1,5,4,100.0,1,1,1,165000
0,0,11,18,3,72.0,0,1,1,188000
1,0,7,17,3,85.0,0,1,1,165000
0,0,13,16,2,84.0,0,0,1,235000
0,0,13,15,3,135.0,0,0,1,290000
1,0,14,16,3,107.0,0,1,1,265000
1,0,9,16,4,135.0,0,1,1,225000
1,1,12,16,3,84.0,0,0,0,193000
1,0,4,9,4,100.0,1,1,1,163000
0,0,2,4,1,40.0,1,1,1,100000
1,1,17,19,2,80.0,0,1,1,115000
0,0,3,19,3,153.5,0,0,0,269000
1,0,2,3,9,500.0,1,1,1,3400000
1,0,5,20,3,90.0,0,1,1,150000
0,0,5,9,2,50.0,1,1,1,125000
0,1,3,20,3,148.0,0,1,0,265000
1,0,3,9,2,80.0,1,1,1,118000
1,0,3,16,2,81.0,0,1,1,137000
0,0,18,18,1,67.0,0,0,0,100500
1,0,16,19,3,185.0,0,1,0,398000
1,0,6,14,2,71.0,0,1,0,105000
1,0,8,14,2,84.0,0,1,0,123000
0,0,5,12,2,63.0,0,1,1,130000
1,1,10,14,2,62.5,0,1,1,115000
1,0,16,21,6,312.0,0,1,1,650000
0,0,2,10,2,85.0,1,1,1,160000
1,0,18,20,2,66.0,0,1,1,140000
1,1,3,8,3,85.0,0,1,1,223000
1,0,8,14,3,150.0,0,1,1,370000
0,0,11,20,2,75.0,0,0,1,149800
0,0,8,16,4,155.0,0,1,1,234000
1,1,4,10,3,76.5,0,1,1,239000
1,0,12,27,2,108.0,0,1,1,320000
0,0,10,17,4,155.0,0,0,1,365000
0,0,4,5,3,75.0,1,1,1,149000
1,0,8,16,3,120.0,0,1,1,187000
0,0,9,16,3,167.0,0,0,1,350000
1,1,9,16,4,156.4,0,0,0,203000
1,0,7,14,4,230.0,0,1,1,480000
1,0,14,18,4,185.0,0,1,1,500000
1,0,10,18,2,70.0,0,1,1,175000
0,0,6,16,4,230.0,0,1,1,480000
1,0,6,12,2,65.0,0,1,1,202000
1,1,4,9,2,52.5,1,1,0,121000
0,0,15,17,2,93.0,0,0,1,160000
0,0,17,19,4,140.0,0,1,1,362500
0,0,17,20,4,165.0,0,1,1,360000
0,0,18,20,2,66.0,0,1,1,138000
0,1,10,16,2,78.4,0,0,1,169500
0,0,5,20,3,90.0,0,1,1,155000
0,0,15,16,2,65.0,0,1,1,130000
1,0,4,5,2,45.0,1,1,1,115000
0,0,12,18,4,135.0,0,1,1,260000
0,0,12,18,3,140.0,0,1,1,310000
0,0,6,17,3,106.0,0,1,1,297000
1,0,7,9,2,65.0,1,1,1,105000
0,0,16,18,2,70.0,0,0,1,145000
1,0,19,21,3,135.0,0,1,1,360000
1,0,5,14,2,50.0,0,0,1,135000
0,0,8,12,3,122.0,0,0,1,145000
1,0,17,17,3,148.0,0,1,0,236000
1,0,12,17,4,236.0,0,1,0,335000
1,1,1,9,4,97.0,1,1,1,175000
0,0,10,19,3,105.0,0,1,1,260000
1,0,15,19,2,53.0,0,0,1,130000
0,0,9,18,3,154.0,0,1,1,280000
1,0,10,16,4,175.0,0,1,1,430000
0,0,11,16,2,92.0,0,1,1,150000
0,0,6,17,2,55.0,0,1,1,189000
1,0,15,18,3,134.0,0,0,1,255000
1,0,15,20,4,176.0,0,0,1,350000
0,0,4,17,2,80.0,0,0,1,225000
0,1,3,19,2,64.0,0,1,1,150000
1,0,5,17,3,98.0,0,1,1,290000
1,0,2,7,3,154.6,0,0,1,555000
0,0,12,17,3,97.0,0,0,0,165000
0,0,4,19,5,179.0,0,0,1,310000
0,0,13,18,2,96.0,0,1,1,270000
0,0,13,18,3,130.0,0,1,1,240000
0,0,1,9,2,70.0,1,1,1,125000
0,0,6,17,3,145.0,0,1,1,315000
1,0,12,17,4,130.0,0,1,1,218000
1,0,13,16,2,106.0,0,1,1,240000
0,0,8,13,3,90.0,0,1,1,128000
0,0,14,17,3,80.0,0,0,1,114000
1,0,15,17,3,135.0,0,1,1,242000
0,0,9,19,3,116.0,0,1,1,180000
0,0,8,18,2,80.0,0,1,1,172000
0,1,6,27,2,103.0,0,1,1,325000
1,0,2,5,3,78.0,0,1,1,132000
0,1,2,5,3,74.0,0,0,1,85000
0,0,4,19,3,122.0,0,1,1,220000
0,0,12,13,3,60.0,0,1,1,92000
0,0,2,6,2,58.0,1,1,1,135000
1,0,16,19,4,150.0,0,1,1,319000
1,0,2,9,3,70.0,1,1,1,138000
0,1,9,9,3,80.0,1,1,1,120000
1,0,4,9,5,120.0,1,1,1,239000
1,0,18,22,2,50.0,0,1,1,142000
1,0,12,17,3,165.0,0,1,1,322000
0,0,2,6,2,75.0,0,0,1,135000
0,0,6,9,4,110.0,1,1,1,187000
0,0,7,17,2,80.0,0,1,1,205000
1,0,1,5,3,212.0,1,1,1,165000
0,0,18,20,2,60.6,0,1,1,96000
1,0,7,17,2,55.0,0,1,1,116000
1,0,15,16,4,150.0,0,0,0,229000
0,0,9,11,3,93.0,0,1,1,190000
0,0,4,9,5,110.0,1,1,1,143000
0,0,2,9,2,45.0,1,1,1,63000
0,0,7,15,1,54.0,0,0,1,78000
0,0,7,7,3,110.0,0,0,1,390000
0,0,16,17,3,106.0,0,1,0,225000
1,0,4,14,3,135.0,0,1,1,315000
0,0,8,16,2,46.1,0,0,0,115000
0,0,2,18,3,90.0,0,0,1,198000
0,0,12,17,4,165.0,0,0,0,295000
1,0,7,9,2,64.0,1,1,1,105000
0,0,5,15,3,91.0,0,0,1,104000
0,0,14,20,4,181.0,0,1,1,328000
1,0,15,17,3,105.0,0,0,0,212000
1,0,7,17,3,70.0,0,0,1,145000
0,0,2,16,4,360.0,0,1,1,269000
0,0,12,15,1,42.0,0,1,1,69000
0,0,7,7,3,135.0,0,1,1,389000
0,0,8,19,2,90.0,0,1,1,190000
1,0,11,16,4,150.0,0,1,1,280000
0,0,3,17,2,58.0,0,0,1,175000
0,0,14,18,3,120.0,0,1,1,310000
0,0,6,17,2,51.0,0,0,1,67000
