id,link,view,updated,title,seller_type,price,currency,description,category,flat_number,area,room_count,documents,is_repair
Elanın nömrəsi: 3292947,https://bina.az/items/3292947,"Yeniləndi: Bugün 10:37 ,Baxışların sayı: 926",Yeniləndi: Bugün 10:37 ,"Satılır 5 otaqlı köhnə tikili 105 m², Nizami m.",vasitəçi (agent),158 000,AZN,"TƏCİLİ SATILIR,Səbayil r, Şaxmat teatrın arxasında, Bəşir Səfəroğlu küçəsində 2 mərtəbəli binanın 2 mərtəbəsində, 5 otaqlı mənzil satılır.
,İşiq, su, qaz daimidir.,Kupça və Sənədlər qaydasındadır.,OFİS XİDMƏT HAQQI 1%,СРОЧНО ПРОДАЕТСЯ,Продается 5-комнатная квартира на 2 этаже 2-х этажного дома по улице Башира Сафароглу, за Шахматным театром, Сабаильский район.
,Свет, вода, газ круглосуточно.,Купча и Документы в порядке.,КОМИССИЯ ОФИСНЫХ УСЛУГ 1 %",Köhnə tikili,2 / 2,105 m²,5,var,var
Elanın nömrəsi: 3793547,https://bina.az/items/3793547,"Yeniləndi: Bugün 10:26 ,Baxışların sayı: 187",Yeniləndi: Bugün 10:26 ,"Satılır 3 otaqlı köhnə tikili 100 m², Xalqlar Dostluğu m.",vasitəçi (agent),160 000,AZN,"-Nizami rayonu,Babək prospekti 60.,- 100 m²
,- 3 Otaq
,- 1/10
,- Mənzilin Çıxarış (Kupca) əldədir. İpotekaya tam yararlıdır..,- Mənzil məlumatları:
,Nizami rayonu,Babək prospekti 60, Leninqrad layihəli köhnə tikilinin 1-ci mərtəbəsində mənzil satılır.Mənzil orta təmirlidi,3 otaq,3 balkon,qaraj və padvalı var.qaz,işıq,su daimidi.internet var.bəzi əşyalar qalacaq.istilik dövlət tərəfindən verilir.,- Qiyməti: 160.000 AZN
,- Xidmət haqqı 1%
,Ətraflı məlumat üçün elə indi zəng edin.",Köhnə tikili,1 / 10,100 m²,3,var,var
Elanın nömrəsi: 3867851,https://bina.az/items/3867851,"Yeniləndi: Bugün 10:26 ,Baxışların sayı: 26",Yeniləndi: Bugün 10:26 ,"Satılır 1 otaqlı köhnə tikili 35.4 m², Qaraçuxur q.",mülkiyyətçi,69 100,AZN,Öz evimdi ela temir olunub temirden sonra yaşayış olmayıb boş evdi qeydoyatdaheç kim yoxdu məktəb baxça yaxınlıqda yerləşir mərkəzi istilik sistemidi,Köhnə tikili,9 / 9,35.4 m²,1,var,var
Elanın nömrəsi: 3867860,https://bina.az/items/3867860,"Yeniləndi: Bugün 10:30 ,Baxışların sayı: 31",Yeniləndi: Bugün 10:30 ,"Satılır 1 otaqlı köhnə tikili 28 m², Nizami m.",mülkiyyətçi,69 000,AZN,"Şəhərin mərkəzində Qíş parkının yanında tam təmirli mənzil əşyalarla birlikdə satılır.
,Məktəbə və uşaq baxçasına tam yaxın məsafədə.",Köhnə tikili,1 / 2,28 m²,1,var,var
Elanın nömrəsi: 3836559,https://bina.az/items/3836559,"Yeniləndi: Bugün 10:28 ,Baxışların sayı: 232",Yeniləndi: Bugün 10:28 ,"Satılır 2 otaqlı köhnə tikili 45 m², Nəriman Nərimanov m.",vasitəçi (agent),170 000,AZN,"Nərimanov metrosunun çıxışında,Oksigen klinikasının və McDonalds-ın arxasında 5/3 mərtəbəsində yerşələn 2 otaqlı təmirli mənzil satılır. Pol parketdir. Binanın özünə məxsus geniş həyəti var. Binanın yanında məktəb,bağça,super marketlər mövcuddur. Qaz,su,işıq daimidir. Kupça (çıxarış) var. Mənzil hal hazırda boşdur,qeydiyyatda heç kim yoxdur. Mənzilin açarı məndədir,istənilən vaxt baxmaq mümkündür.  İpotekaya yararlı deyil.",Köhnə tikili,3 / 5,45 m²,2,var,var
Elanın nömrəsi: 3867879,https://bina.az/items/3867879,"Yeniləndi: Bugün 10:37 ,Baxışların sayı: 24",Yeniləndi: Bugün 10:37 ,"Satılır 2 otaqlı köhnə tikili 55 m², Memar Əcəmi m.",vasitəçi (agent),100 000,AZN,"COX COX TECILI SATILIR !!!!!!! Nesimi rayon Mircelal kucesi 5 mertebeli binanin 4 cu mertebesinde yerlesen menzil tecili satilir.Qaz su isiq daimidir.                                        
,KUPCA VAR.                                          Senedler tam qaydasindadir.                                  Binanin yaxinliginda mekteb bagca supermarketler ve diger iase obyektler movcuddur.
,Ofis haqqi 1% teskil edir.",Köhnə tikili,4 / 5,55 m²,2,var,var
Elanın nömrəsi: 3629813,https://bina.az/items/3629813,"Yeniləndi: Bugün 10:37 ,Baxışların sayı: 4066",Yeniləndi: Bugün 10:37 ,"Satılır 1 otaqlı köhnə tikili 25 m², Sahil m.",vasitəçi (agent),58 000,AZN,"Şaxmat məktəbinin yanında, Qış parkına yaxın, 3 mərtəbəli binanın həyətində 1-ci mərtəbədə yerləşən 1 otaqlı mənzil satılır.
,Qaz su içıq daimidir
,Hündür tavanlar
,Kirayə vermək ücün və investisıya baxımınan ide4al bir təklif.,Ofis xidmət haqqı 1 %,Продается 1-комнатная квартира на 1 этаже во дворе 3-х этажного дома возле Зимнего парка, рядом с шахматной школой.
,Газ и вода постоянно.
,Высокие потолки
,Идеальное предложение для сдачи в аренду и инвестиции.,комиссия за обслуживание офиса 1%",Köhnə tikili,1 / 3,25 m²,1,var,var
Elanın nömrəsi: 3854697,https://bina.az/items/3854697,"Yeniləndi: Bugün 10:38 ,Baxışların sayı: 152",Yeniləndi: Bugün 10:38 ,"Satılır 2 otaqlı köhnə tikili 60 m², 20 Yanvar m.",vasitəçi (agent),102 000,AZN,"COX TƏCİLİ !!!
,Nəsimi rayonu, 1-ci mikrorayon, Moskva prospektinin kanarında yerləşən Eksperimental layihəli 18 mərtəbəli binanın 16 və 17-ci mərtəbəsində ümumi sahəsi 120 kv.m. olan 2 otaqlı mənzil satılır. 16-cı mərtəbədə yerləşən mənzilin ümumi sahəsi 60 kv.m. 17-ci mərtəbədə yerləşən mənzilin ümumi sahəsi 60kv.m təşkil edir. Mənzil 1 otaqdan 2 otağa düzəlib. İşıq, su, qaz daimidir. Lift sistemi yenidir. Bina infrastruktur cəhətdən əlverişli ərazidə yerləşir. Məktəb, bağça, market, xəstəxana və digər yaşam üçün əhəmiyyətli obyektlər binanın yaxınlığındadır. Əlavə məlumat və mənzilə baxış keçirmək üçün əlaqə saxlaya bilərsiz. Sənəd Kupça ( ÇIXARIŞ ). Şirkət komissiyası 1 % təşkil edir.
",Köhnə tikili,16 / 18,60 m²,2,var,var
Elanın nömrəsi: 3867876,https://bina.az/items/3867876,"Yeniləndi: Bugün 10:36 ,Baxışların sayı: 30",Yeniləndi: Bugün 10:36 ,"Satılır 3 otaqlı köhnə tikili 60 m², Əhmədli m.",vasitəçi (agent),121 000,AZN,"
Əhmədli metrosunun yaxınlığında Diaqnoz tibb mərkəzinin Düz Yani Telnof küçəsi 9/2 2 otaq 3 otaqa düzəlib Şəkillər mənzilə aiddir Mənzilin 15 kvadrat artırması var Real alıcıya endirim olacaq Ofis haqqı 1 fayiz təşkil edir Ofis haqqı 1 fayiz təşkil",Köhnə tikili,2 / 9,60 m²,3,var,var
Elanın nömrəsi: 3841253,https://bina.az/items/3841253,"Yeniləndi: 13 Oktyabr 2023 ,Baxışların sayı: 779",Yeniləndi: 13 Oktyabr 2023 ,"Satılır 2 otaqlı köhnə tikili 45 m², Köhnə Günəşli q.",vasitəçi (agent),82 000,AZN,Köhnə Günəşli 46N-li marşrutun son dayanacağına yaxın 9 mərtəbəli binanın 2-ci mərtəbəsi LENİNQRAD proyekti 2 otağa düzəlmə tam təmirli qismən əşyalı qaz isiq su telefon internet xətti var İnfrastruktor cəhətdən yaxşı yerdədir ətrafda məktəb bağça tədris mərkəzi supermarketlər və digər İAŞƏ obyektləri mövcuddur.Əhmədli və Həzi Aslanov metrostansiyasına cəmi 10 dəqiqəlik məsafədə. KUPÇA var İPOTEKAYA YARARLIDIR.Ofis haqqı 1%,Köhnə tikili,2 / 9,45 m²,2,var,var
